movie|celeb|review
The Free World|Jason Lew|How hard would you fight to be free? After spending two decades in prison for a crime he didn't commit, Mo (Boyd Holbrook) struggles to put his past behind him as he readjusts to a new life working in an animal shelter. Doris (Elisabeth Moss) is trapped in another sort of prison: an abusive marriage. A dramatic encounter brings these two troubled souls together, and a possible murder connects them. Soon, Mo finds himself risking everything - including being locked up once again for someone else's crime - to protect the fragile Doris. Driven by explosive performances from Elisabeth Moss and rising star Boyd Holbrook, the feature debut from director Jason Lew is a gripping, mood-drenched exploration of guilt, redemption, and what it means to be free. Academy Award(R) winner Octavia Spencer and Sung Kang costar.
Lazy Eye|Tim Kirkman|Passions reignite and hidden secrets revealed when a graphic designer in Los Angeles (Lucas Near-Verbrugghe) reconnects with an ex-lover (Aaron Costa Ganis) he hasn't seen or heard from in 15 years. Over the course of a weekend at a vacation house in the desert, they must determine whether or not they have a future together. Written and directed by Emmy, Gotham, GLAAD and Independent Spirit Award-nominee Tim Kirkman (Dear Jesse, Loggerheads, The Night Larry Kramer Kissed Me) and co-starring Michaela Watkins is about roads not taken, unfinished business, and the struggle to adjust to progressive lenses.
The Little Prince 2016|Mark Osborne|Kung-fu Panda director Mark Osborne teams with producers Aton Soumache and Dimitri Rassam for this animated take on Antoine de Saint-Exupery's beloved novella about a pilot (voice of Jeff Bridges) who crash lands in the Sahara desert and encounters a mysterious young boy who claims to be an extraterrestrial prince. James Franco, Rachel McAdams, Marion Cotillard, Benicio Del Toro, and Paul Giamatti also lend their voices to this Onyx Films production. ~ Jason Buchanan, Rovi
Ben Hur 2016|Timur Bekmambetov|The epic story of Judah Ben-Hur, a prince falsely accused of treason by his adopted brother Messala, an officer in the Roman army. Stripped of his title, separated from his family and the woman he loves, Judah is forced into slavery. After years at sea, Judah returns to his homeland to seek revenge, but an encounter with Jesus leads him to the Crucifixion, where he discovers forgiveness and finds redemption.
Indyfans|Brandon Kleyla|Star Trek fans are easy to spot, and everyone knows that the Star Wars series has its fair share of enthusiastic fans, but what of the series starring everyone's favorite bullwhip-toting archeologist, Indiana Jones? In this documentary showcasing the legacy of the long-running fantasy/adventure series that began with 1981's Raiders of the Lost Ark, filmmaker Brandon Kleyla proves that just because Indiana JoneS fans don't necessarily stand out in a crowd, doesn't mean that they don't exist in droves.
Our Idiot Brother|Jesse Peretz|Every family has one: the sibling who is always just a little bit behind the curve when it comes to getting his life together. For sisters Liz (Emily Mortimer), Miranda (Elizabeth Banks) and Natalie (Zooey Deschanel), that person is their perennially upbeat brother Ned (Paul Rudd), an erstwhile organic farmer whose willingness to rely on the honesty of mankind is a less-than-optimum strategy for a tidy, trouble-free existence. Ned may be utterly lacking in common sense, but he is their brother and so, after his girlfriend dumps him and boots him off the farm, his sisters once again come to his rescue. As Liz, Miranda and Natalie each take a turn at housing Ned, their brother's unfailing commitment to honesty creates more than a few messes in their comfortable routines. But as each of their lives begins to unravel, Ned's family comes to realize that maybe, in believing and trusting the people around him; Ned isn't such an idiot after all. -- (C) Weinstein
Dear Jesse|Tim Kirkman|In this personal documentary, gay filmmaker Tim Kirkman breaks up with his lover in New York and returns to his home state of North Carolina where he talks to numerous people in an effort to gain an understanding of North Carolina's homophobic senator, Jesse Helms. Kirkman's interviews include the widow of a former Helms associate whose son died of AIDS, and a gay elected official who views Helms as evil. Observing that Helms is "obsessed with homosexual men -- and so am I," Kirkman concludes that many attack Helms in a manner not much different from the way Helms denounces those who are gay. Black-and-white footage used for New York scenes is seen in contrast to colorful North Carolina footage. Shown at the 1997 Boston Film Festival.
Loggerheads|Tim Kirkman|Tim Kirkman wrote and directed Loggerheads, a film that follows three different storylines that all transpire over the course of a Mother's Day weekend, but take place at different times. One of the stories features a man who arrives in a coastal North Carolina town in order to preserve turtles that are endangered. He becomes involved with a local businessman and must decide where he feels in his heart that he belongs. A second story concerns a woman who begins to feel her small-town changing in ways that frighten her. She must face these changing social realities while constantly listening to the speeches of her minister husband. The third storyline involves a woman who intends to spend the weekend celebrating the holiday with her own mother while also attempting to make contact with the child she gave up for adoption years before. Loggerheads was a selection at the 2005 Sundance Film Festival.
The Night Larry Kramer Kissed Me|Tim Kirkman|Tim Kirkman updates David Drake's seminal early '90s one man show about AIDS and growing up gay. Drake, who hasn't staged his work for seven years previous to this release, reprises his role. This film was screened at the 2000 Outfest Film Festival.
While Were Young|Noah Baumbach|Noah Boaumbach's comedy While We're Young stars Ben Stiller and Naomi Watts as Josh and Cornelia, a childless New York married couple in their mid-forties. As their other friends all start having children, the couple gravitates toward a young hipster couple named Jamie (Adam Driver) and Darby (Amanda Seyfried). He's an aspiring documentary filmmaker, a vocation Josh already has. Soon the older couple begins enjoying the energy they feel haging out with the younger generation, but eventually Josh begins to suspect his new best friend might not be as straightforward and trustworthy as he thought. While We're Young screened at the 2014 Toronto International Film Festival.
